,longest_idle_time,score,extra_data,goal,calorie,run_time,deviceuuid,update_time,longest_active_time,day_time,walk_time,pkg_name,active_time,distance,others_time,step_count,datauuid,create_time
831,32400000,0,e0279779-f2d3-40fc-8494-a93d4fd13ec2.extra_data.json,-1,535.7798,186301,jQfnryI8/B,2017-07-06 01:55:00.406,1020000,1499212800000,6717588,com.sec.android.app.shealth,6903889,9575.15,0,11914,e0279779-f2d3-40fc-8494-a93d4fd13ec2,2017-07-05 04:00:01.895
832,21660000,0,e0944c3e-6f89-47d0-b0bd-841a213cecd3.extra_data.json,-1,99.39,34487,jQfnryI8/B,2017-02-10 06:21:06.943,120000,1486598400000,1317359,com.sec.android.app.shealth,1351846,1674.05,0,2114,e0944c3e-6f89-47d0-b0bd-841a213cecd3,2017-02-09 08:00:01.359
833,49380000,78,e0a47fcb-b359-495f-8569-0e300b823dc8.extra_data.json,60,214.68999,37908,jQfnryI8/B,2016-07-19 03:54:59.806,360000,1468800000000,2827082,com.sec.android.app.shealth,2864990,3729.4,0,4798,e0a47fcb-b359-495f-8569-0e300b823dc8,2016-07-18 07:00:38.480
834,22500000,0,e100ed58-10a4-4782-955c-d8080662a43f.extra_data.json,-1,306.61002,41203,jQfnryI8/B,2017-03-29 01:25:05.498,360000,1490659200000,4166239,com.sec.android.app.shealth,4207442,5318.5103,0,6824,e100ed58-10a4-4782-955c-d8080662a43f,2017-03-28 04:00:01.983
835,11820000,0,e1b49a89-88d7-449f-9357-2c5cb9c32439.extra_data.json,-1,857.37946,36352,jQfnryI8/B,2018-01-22 13:10:09.563,3957443,1516492800000,2116939,com.sec.android.app.shealth,9060173,2492.3318,6906882,7479,e1b49a89-88d7-449f-9357-2c5cb9c32439,2018-01-21 06:14:44.245
836,22680000,0,e202f8da-8b81-48a3-b43d-5262aea15d4f.extra_data.json,-1,818.00757,9741,jQfnryI8/B,2018-03-31 13:26:49.651,2789744,1522368000000,12521370,com.sec.android.app.shealth,12531111,14373.7,0,19935,e202f8da-8b81-48a3-b43d-5262aea15d4f,2018-03-30 04:00:01.002
837,30660000,213,e26556a6-c1e4-457f-92b6-f56bc45f9c82.extra_data.json,60,512.6533,15933,jQfnryI8/B,2018-12-31 14:49:43.267,1232063,1546128000000,7731796,com.sec.android.app.shealth,7747729,9096.171999999999,0,12171,e26556a6-c1e4-457f-92b6-f56bc45f9c82,2018-12-30 05:00:00.922
838,18720000,0,e2b3e586-f6e0-4a3e-95c7-d72455a88c0d.extra_data.json,-1,367.17007,148401,jQfnryI8/B,2016-06-25 14:40:10.497,780000,1465776000000,4678860,com.sec.android.app.shealth,4827261,6562.119000000001,0,8046,e2b3e586-f6e0-4a3e-95c7-d72455a88c0d,2016-06-25 14:40:10.497
839,25920000,0,e2b78547-e4a3-4835-8170-f994763f5f8f.extra_data.json,-1,457.45,15501,jQfnryI8/B,2017-07-13 01:55:00.190,780000,1499817600000,6252477,com.sec.android.app.shealth,6267978,8282.539,0,10657,e2b78547-e4a3-4835-8170-f994763f5f8f,2017-07-12 04:00:00.546
840,25920000,0,e2fadfdb-00b7-4202-b5f3-e65d49d87bbf.extra_data.json,-1,321.18,107533,jQfnryI8/B,2017-03-28 01:12:43.105,360000,1490572800000,4086269,com.sec.android.app.shealth,4193802,5568.721,0,7018,e2fadfdb-00b7-4202-b5f3-e65d49d87bbf,2017-03-27 04:00:01.499
