,longest_idle_time,score,goal,calorie,run_time,deviceuuid,update_time,longest_active_time,day_time,walk_time,active_time,distance,others_time,step_count,create_time
437,26100000,0,-1,95.9,47920,jQfnryI8/B,2017-12-01 02:54:59.909,180000,1512000000000,1142692,1190612,1495.97,0,1935,2017-11-30 05:57:24.021
438,32880000,140,60,435.9247,2463,jQfnryI8/B,2018-12-02 15:28:18.030,4410053,1543622400000,684559,5097075,746.1944,4410053,2371,2018-12-01 05:00:03.013
439,39119999,0,-1,34.37,400,jQfnryI8/B,2017-07-07 08:53:08.186,180000,1499299200000,521504,521904,647.9,0,808,2017-07-06 04:00:00.478
440,13620000,220,60,738.5373,9963,jQfnryI8/B,2018-10-11 00:19:25.100,2688673,1539043200000,3519090,8017726,4245.661,4488673,7512,2018-10-09 04:00:04.831
441,16860000,0,-1,672.4599,30768,jQfnryI8/B,2016-12-01 01:51:58.078,840000,1480464000000,10200580,10231348,12607.514,0,16343,2016-11-30 05:00:02.432
442,22500000,55,60,145.98,1200,jQfnryI8/B,2018-12-24 21:32:55.083,360000,1545523200000,2032169,2033369,2314.9243,0,3109,2018-12-23 05:00:01.073
443,31020000,0,-1,1010.51434,162527,jQfnryI8/B,2018-08-27 12:38:15.999,1800577,1535241600000,14590815,14753342,17825.154,0,23171,2018-08-25 22:16:01.377
444,33120000,0,-1,333.6,71234,jQfnryI8/B,2016-12-24 04:34:52.443,180000,1482451200000,4416894,4488128,5728.6294,0,7049,2016-12-23 08:01:01.404
445,35100000,0,-1,72.78,3573,jQfnryI8/B,2017-10-28 01:41:49.721,120000,1509062400000,1087651,1091224,1331.21,0,1667,2017-10-27 04:15:00.811
446,10380000,0,-1,771.54626,25957,jQfnryI8/B,2018-05-31 18:24:04.067,2651907,1527638400000,7467554,10145418,9645.762,2651907,15063,2018-05-30 04:00:00.547
447,37380000,0,-1,140.31999,24000,jQfnryI8/B,2017-09-09 17:49:34.984,120000,1504915200000,2041627,2065627,2544.5994,0,3128,2017-09-09 04:00:29.530
448,24180000,0,-1,81.97001,13600,jQfnryI8/B,2016-06-25 14:40:10.307,60000,1465603200000,1172586,1186186,1467.23,0,1792,2016-06-25 14:40:10.307
