,heart_rate,deviceuuid,max,min,time_offset,local_start_time,local_end_time
1172,52.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-10-11 04:30:29.314,2018-10-11 04:30:29.314
1173,58.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-09-14 21:20:29.317,2018-09-14 21:20:29.317
1174,62.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-05-23 11:01:04.210,2018-05-23 11:01:04.210
1175,62.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-07-28 00:50:29.285,2018-07-28 00:50:29.285
1176,52.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-10-21 17:50:29.286,2018-10-21 17:50:29.286
1177,50.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-10-01 05:20:51.538,2018-10-01 05:20:51.538
1178,53.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-10-17 03:40:29.242,2018-10-17 03:40:29.242
1179,54.0,F/D7+hL5E5,0.0,0.0,UTC-0500,2018-11-18 07:00:29.294,2018-11-18 07:00:29.294
1180,65.0,F/D7+hL5E5,0.0,0.0,UTC-0500,2018-12-26 20:41:00.754,2018-12-26 20:41:00.754
1181,77.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-09-19 20:20:51.467,2018-09-19 20:20:51.467
1182,53.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-07-12 23:50:29.275,2018-07-12 23:50:29.275
1183,69.0,F/D7+hL5E5,0.0,0.0,UTC+0200,2018-08-27 03:50:29.243,2018-08-27 03:50:29.243
1184,65.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-06-09 00:30:29.319,2018-06-09 00:30:29.319
1185,69.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-10-18 01:20:29.318,2018-10-18 01:20:29.318
1186,62.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-06-20 02:30:29.243,2018-06-20 02:30:29.243
1187,55.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-08-11 21:40:29.307,2018-08-11 21:40:29.307
1188,56.0,F/D7+hL5E5,0.0,0.0,UTC-0400,2018-09-02 01:20:29.308,2018-09-02 01:20:29.308
1189,79.0,F/D7+hL5E5,0.0,0.0,UTC-0500,2018-12-15 13:50:29.293,2018-12-15 13:50:29.293
