,efficiency,quality,time_offset,deviceuuid,local_start_time,local_end_time
79,90.05525,,UTC-0400,F/D7+hL5E5,2018-09-19 22:11:00,2018-09-20 07:13:00
80,80.22837072397436,,UTC-0400,F/D7+hL5E5,2018-11-01 03:14:00,2018-11-01 06:55:00
81,92.741936,,UTC-0400,F/D7+hL5E5,2018-06-29 00:19:00,2018-06-29 06:30:00
82,94.936714,,UTC-0500,F/D7+hL5E5,2018-12-31 11:00:00,2018-12-31 12:18:00
83,94.545456,50004.0,UTC-0500,F/D7+hL5E5,2018-02-04 22:23:00,2018-02-05 05:42:00
84,92.89474,,UTC-0400,F/D7+hL5E5,2018-07-09 00:03:00,2018-07-09 06:23:00
88,89.3617,,UTC-0500,F/D7+hL5E5,2018-11-17 13:39:00,2018-11-17 15:12:00
89,92.14438,,UTC-0400,F/D7+hL5E5,2018-06-09 22:33:00,2018-06-10 06:24:00
90,92.341354,,UTC-0500,F/D7+hL5E5,2018-11-21 21:59:00,2018-11-22 05:35:00
91,85.976195088965,,UTC-0400,F/D7+hL5E5,2018-09-29 23:43:00,2018-09-30 09:05:00
92,91.42857,,UTC-0500,F/D7+hL5E5,2018-01-14 22:57:00,2018-01-15 05:21:00
93,94.67456,,UTC-0500,F/D7+hL5E5,2018-12-07 22:04:00,2018-12-08 06:30:00
94,92.056076,,UTC-0500,F/D7+hL5E5,2018-01-03 23:15:00,2018-01-04 06:23:00
95,91.85022,,UTC-0400,F/D7+hL5E5,2018-07-12 22:11:00,2018-07-13 05:44:00
97,91.72577,,UTC-0400,F/D7+hL5E5,2018-05-16 23:08:00,2018-05-17 06:11:00
98,96.36363,50003.0,UTC-0500,F/D7+hL5E5,2018-03-02 22:55:00,2018-03-03 05:19:00
100,93.04933,50003.0,UTC-0400,F/D7+hL5E5,2018-03-10 22:11:00,2018-03-11 05:36:00
101,85.67714013043478,,UTC-0400,F/D7+hL5E5,2018-07-14 23:43:00,2018-07-15 07:23:00
102,92.26667,,UTC-0400,F/D7+hL5E5,2018-07-25 00:10:00,2018-07-25 06:24:00
103,93.589745,,UTC-0400,F/D7+hL5E5,2018-06-16 14:57:00,2018-06-16 16:14:00
104,93.071594,,UTC-0500,F/D7+hL5E5,2018-03-09 22:30:00,2018-03-10 05:42:00
105,91.66667,50003.0,UTC-0400,F/D7+hL5E5,2018-03-14 22:54:00,2018-03-15 05:41:00
106,92.24138,,UTC-0500,F/D7+hL5E5,2018-01-28 22:27:00,2018-01-29 04:14:00
107,92.36948,,UTC-0400,F/D7+hL5E5,2018-09-09 22:15:00,2018-09-10 06:32:00
108,90.4661,,UTC+0200,F/D7+hL5E5,2018-08-20 22:59:00,2018-08-21 06:51:00
109,91.97708,,UTC-0400,F/D7+hL5E5,2018-06-25 00:39:00,2018-06-25 06:27:00
111,87.47346,,UTC-0400,F/D7+hL5E5,2018-08-14 22:40:00,2018-08-15 06:30:00
112,83.47825999999998,,UTC+0200,F/D7+hL5E5,2018-08-27 16:44:00,2018-08-27 18:38:00
113,88.88889,,UTC-0500,F/D7+hL5E5,2018-12-01 15:58:00,2018-12-01 17:18:00
114,88.53333,,UTC-0400,F/D7+hL5E5,2018-05-27 23:13:00,2018-05-28 05:27:00
115,68.13205947368421,,UTC-0400,F/D7+hL5E5,2018-04-06 03:43:00,2018-04-06 07:31:00
116,85.71429,,UTC-0400,F/D7+hL5E5,2018-09-01 16:42:00,2018-09-01 17:44:00
117,93.066666,50003.0,UTC-0500,F/D7+hL5E5,2018-01-24 22:41:00,2018-01-25 04:55:00
118,93.94572,50003.0,UTC-0500,F/D7+hL5E5,2018-02-11 22:04:00,2018-02-12 06:02:00
119,91.224495,,UTC-0500,F/D7+hL5E5,2018-11-04 22:21:00,2018-11-05 06:31:00
122,91.025635,,UTC-0400,F/D7+hL5E5,2018-03-25 01:30:00,2018-03-25 06:41:00
123,95.06493,,UTC-0400,F/D7+hL5E5,2018-06-04 23:41:00,2018-06-05 06:05:00
124,96.385544,,UTC-0400,F/D7+hL5E5,2018-03-21 22:32:00,2018-03-21 23:54:00
125,85.45696757823129,,UTC-0500,F/D7+hL5E5,2018-01-21 21:32:00,2018-01-22 07:20:00
126,85.11543956653226,,UTC-0400,F/D7+hL5E5,2018-06-07 22:01:00,2018-06-08 06:17:00
127,92.253525,,UTC-0400,F/D7+hL5E5,2018-09-23 23:47:00,2018-09-24 06:52:00
128,89.47369,,UTC-0400,F/D7+hL5E5,2018-07-07 15:11:00,2018-07-07 16:45:00
129,91.967865,,UTC-0400,F/D7+hL5E5,2018-07-18 22:18:00,2018-07-19 06:35:00
130,95.631065,50004.0,UTC-0500,F/D7+hL5E5,2018-01-25 20:56:00,2018-01-26 07:13:00
131,90.804596,,UTC-0400,F/D7+hL5E5,2018-07-27 22:50:00,2018-07-28 07:31:00
132,93.589745,,UTC-0400,F/D7+hL5E5,2018-10-16 21:32:00,2018-10-17 06:37:00
133,90.38461,,UTC-0400,F/D7+hL5E5,2018-10-21 16:56:00,2018-10-21 18:39:00
134,86.54173,,UTC-0400,F/D7+hL5E5,2018-09-02 21:57:00,2018-09-03 07:44:00
135,93.99142,50004.0,UTC-0500,F/D7+hL5E5,2018-02-17 22:45:00,2018-02-18 06:30:00
136,92.42762,,UTC-0400,F/D7+hL5E5,2018-03-20 22:13:00,2018-03-21 05:42:00
137,94.90446,,UTC-0400,F/D7+hL5E5,2018-06-13 22:03:00,2018-06-14 03:16:00
138,92.20779,,UTC-0400,F/D7+hL5E5,2018-06-28 17:57:00,2018-06-28 19:13:00
139,95.16807,,UTC-0400,F/D7+hL5E5,2018-03-15 22:20:00,2018-03-16 06:15:00
