,date,total_sleep_duration_hr,mean_sleep_efficiency,mean_sleep_quality,total_step_count,total_step_distance,total_step_calorie,mean_step_speed,mean_heart_rate,max_heart_rate,min_heart_rate,mean_exercises_heart_rate,mean_cadence,mean_exercises_speed,max_altitude,max_exercises_heart_rate,max_cadence,max_exercises_speed,min_altitude,min_exercises_heart_rate,altitude_loss,total_exercises_rep_count,altitude_gain,total_exercises_duration,incline_distance,decline_distance,total_exercises_calorie,total_exercises_distance
109,2018-04-12,6.333333333333333,92.91338,,,,,,,,,126.0,0.0,0.0,,191.0,0.0,,,95.0,0.0,0.0,0.0,49.03516666666667,0.0,0.0,260.871,0.0
110,2018-04-13,8.383333333333333,88.09524,,,,,,,,,,,,,,,,,,,,,,,,,
111,2018-04-14,8.9,88.236279082397,,,,,,,,,135.0,0.0,0.0,,171.0,0.0,,,105.0,0.0,0.0,0.0,71.1142,0.0,0.0,378.322,0.0
112,2018-04-15,8.233333333333333,93.93939,,,,,,,,,,,,,,,,,,,,,,,,,
113,2018-04-16,8.216666666666667,90.09612801622718,,,,,,,,,,,,,,,,,,,,,,,,,
114,2018-04-17,7.55,92.07048,,,,,,,,,67.0,0.0,0.76979105,,210.0,0.0,1.7245018,,0.0,0.0,0.0,0.0,53.13125,0.0,0.0,272.445,964.337
115,2018-04-18,7.2,91.91686,,,,,,,,,128.0,0.0,0.0,,199.0,0.0,,,83.0,0.0,0.0,0.0,73.1806,0.0,0.0,389.267,0.0
116,2018-04-19,6.616666666666666,91.45728,,,,,,149.0,0.0,0.0,128.0,0.0,0.0,,185.0,0.0,,,80.0,0.0,0.0,0.0,41.60191666666667,0.0,0.0,221.101,0.0
117,2018-04-20,8.2,93.71197,,,,,,,,,,,,,,,,,,,,,,,,,
118,2018-04-21,5.7,94.1691,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,24.0,0.0,0.0,201.0,0.0
119,2018-04-22,5.366666666666666,91.95046,,,,,,,,,,,,,,,,,,,,,,,,,
120,2018-04-23,5.783333333333333,96.55172,,,,,,,,,,,,,,,,,,,,,,,,,
121,2018-04-24,7.233333333333333,91.49425,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,41.18301666666667,0.0,0.0,314.53,0.0
122,2018-04-25,8.333333333333334,84.426308856,,,,,,76.0,0.0,0.0,,,,,,,,,,,,,,,,,
123,2018-04-26,6.65,87.74855846616542,,,,,,,,,,,,,,,,,,,,,,,,,
124,2018-04-27,7.166666666666667,92.12855047906977,,,,,,,,,,,,,,,,,,,,,,,,,
125,2018-04-28,5.916666666666666,82.77977176469888,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,30.0,0.0,0.0,252.0,0.0
126,2018-04-29,7.35,92.97052,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,30.0,0.0,0.0,252.0,0.0
127,2018-04-30,9.9,90.58403065656566,,,,,,,,,,,,,,,,,,,,,,,,,
128,2018-05-01,6.9,91.09870434782609,,,,,,,,,,,0.76071465,,,,3.5833333,,,0.0,0.0,0.0,50.632983333333335,0.0,0.0,402.03,970.64
129,2018-05-02,6.35,91.62304,,,,,,,,,,,,,,,,,,,,,,,,,
130,2018-05-03,8.35,91.03179740518962,,,,,,,,,,,,,,,,,,,,,,,,,
131,2018-05-04,7.933333333333334,88.69701806722689,,,,,,,,,,,,,,,,,,,,,,,,,
132,2018-05-06,3.0,0.0,50002.0,,,,,,,,,,,,,,,,,,,,,,,,
